transcript_id,employee_id,name,designation,education,experience,interview_date,interview_transcript,skills_mentioned,overall_score,feedback,hiring_decision,interview_summary
TID0001,EID0001,Brandon Russell,Data Analyst,M.Sc in Data Science,0 years,2025-02-05,"Interviewer: Tell me about yourself.
Candidate: umm... Hello, I'm Brandon Russell, I completed my M.Sc in Data Science, and I love solving analytical problems through data.

Interviewer: Describe a difficult situation you handled.
Candidate: umm... I had to resolve a conflict in the team by mediating and redistributing responsibilities.

Interviewer: What is your experience with Power BI?
Candidate: Sorry, I haven't learned that yet.

Interviewer: What is SQL?
Candidate: I don't remember exactly.

Interviewer: Why do you want this job?
Candidate: I want to grow in the data field and believe your company offers great learning opportunities.

Interviewer: How do you clean data?
Candidate: I think I use Pandas in Python to identify null values, drop irrelevant columns, and correct inconsistent entries.
","Python, R, Statistics, Power BI, Pandas, Tableau",3.67,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Brandon Russell (EID0001) applied for the role of Data Analyst with M.Sc in Data Science background. They are a Fresher. Performance in the interview was rated 3.67/5. Skills mentioned: Python, R, Statistics, Power BI, Pandas, Tableau. Power BI listed but not confidently answered"
TID0002,EID0002,Shelly Gray,ML Associate,MBA with Analytics,4 years,2025-05-05,"Interviewer: Tell me about yourself.
Candidate: uhh... Hi, I'm Shelly Gray. I studied MBA with Analytics and did internships where I worked on real-world data projects and dashboards.

Interviewer: Why do you want this job?
Candidate: This role aligns perfectly with my skill set and career goals in analytics.

Interviewer: Describe a difficult situation you handled.
Candidate: During a group project, a teammate left suddenly, and I took over their tasks to meet the deadline.

Interviewer: What is your experience with Power BI?
Candidate: I use Power BI for reporting sales trends and customer analysis with slicers and filters.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN combines rows from two or more tables based on a related column like ID.

Interviewer: What is SQL?
Candidate: I guess It’s a language used for querying, updating, and managing data stored in databases.
","Python, SQL, NumPy, R, Statistics, Pandas, Tableau",4.67,Excellent candidate. Recommended.,Hire,"Candidate Shelly Gray (EID0002) applied for the role of ML Associate with MBA with Analytics background. They are a Experienced. Performance in the interview was rated 4.67/5. Skills mentioned: Python, SQL, NumPy, R, Statistics, Pandas, Tableau. All mentioned skills supported."
TID0003,EID0003,Samuel Moore,Data Science Intern,M.Sc in Data Science,5 years,2025-03-22,"Interviewer: Tell me about yourself.
Candidate: uhh... Hi, I'm Samuel Moore. I studied M.Sc in Data Science and did internships where I worked on real-world data projects and dashboards.

Interviewer: What is your experience with Power BI?
Candidate: I haven’t used that in any of my projects yet.

Interviewer: Describe a difficult situation you handled.
Candidate: Sorry, I haven't learned that yet.

Interviewer: What is a JOIN operation in SQL?
Candidate: I guess It’s used to merge data — for instance, customer details with their orders.

Interviewer: What is SQL?
Candidate: SQL stands for Structured Query Language and is used to manage data in relational databases.

Interviewer: Why do you want this job?
Candidate: This role aligns perfectly with my skill set and career goals in analytics.
","Python, SQL, Excel, NumPy, R, Statistics, Power BI, Tableau",3.67,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Samuel Moore (EID0003) applied for the role of Data Science Intern with M.Sc in Data Science background. They are a Experienced. Performance in the interview was rated 3.67/5. Skills mentioned: Python, SQL, Excel, NumPy, R, Statistics, Power BI, Tableau. Power BI listed but not confidently answered"
TID0004,EID0004,Mia Martin,ML Associate,B.Sc in CS,5 years,2025-07-10,"Interviewer: Tell me about yourself.
Candidate: Hello, I'm Mia Martin, I completed my B.Sc in CS, and I love solving analytical problems through data.

Interviewer: How do you clean data?
Candidate: I think I handle missing values, remove duplicates, and standardize formats during data cleaning.

Interviewer: What is a JOIN operation in SQL?
Candidate: I think It’s used to merge data — for instance, customer details with their orders.

Interviewer: Describe a difficult situation you handled.
Candidate: umm... Once I faced a technical glitch hours before a demo, and I quickly built a workaround using Python.

Interviewer: Why do you want this job?
Candidate: you know I’m passionate about data and love solving real-world problems through analysis.

Interviewer: What is SQL?
Candidate: SQL stands for Structured Query Language and is used to manage data in relational databases.
","Excel, SQL, NumPy, R, Statistics, Pandas, Power BI, Tableau",4.17,Excellent candidate. Recommended.,Hire,"Candidate Mia Martin (EID0004) applied for the role of ML Associate with B.Sc in CS background. They are a Experienced. Performance in the interview was rated 4.17/5. Skills mentioned: Excel, SQL, NumPy, R, Statistics, Pandas, Power BI, Tableau. All mentioned skills supported."
TID0005,EID0005,Brandon Harper,Data Analyst,M.Sc in Data Science,5 years,2025-01-29,"Interviewer: Tell me about yourself.
Candidate: My name is Brandon Harper and I hold a degree in M.Sc in Data Science. I'm a recent graduate in data science with strong skills in Python and SQL.

Interviewer: What is a JOIN operation in SQL?
Candidate: kinda JOIN helps bring together different tables so you can analyze related data easily.

Interviewer: Describe a difficult situation you handled.
Candidate: you know Once I faced a technical glitch hours before a demo, and I quickly built a workaround using Python.

Interviewer: What is your experience with Power BI?
Candidate: I use Power BI for reporting sales trends and customer analysis with slicers and filters.

Interviewer: How do you clean data?
Candidate: I handle missing values, remove duplicates, and standardize formats during data cleaning.

Interviewer: What is SQL?
Candidate: I haven’t used that in any of my projects yet.
","Python, SQL, NumPy, R, Statistics, Pandas",4.0,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Brandon Harper (EID0005) applied for the role of Data Analyst with M.Sc in Data Science background. They are a Experienced. Performance in the interview was rated 4.0/5. Skills mentioned: Python, SQL, NumPy, R, Statistics, Pandas. SQL listed but not confidently answered"
TID0006,EID0006,Nicholas Garcia,Insights Analyst,M.Sc in Data Science,1 years,2025-01-24,"Interviewer: Tell me about yourself.
Candidate: Hi, I'm Nicholas Garcia. I studied M.Sc in Data Science and did internships where I worked on real-world data projects and dashboards.

Interviewer: Why do you want this job?
Candidate: I haven’t used that in any of my projects yet.

Interviewer: Describe a difficult situation you handled.
Candidate: Once I faced a technical glitch hours before a demo, and I quickly built a workaround using Python.

Interviewer: What is your experience with Power BI?
Candidate: I’ve built interactive dashboards and used DAX to create KPIs and visualizations.

Interviewer: How do you clean data?
Candidate: I apply techniques like normalization, encoding categorical values, and outlier detection.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN combines rows from two or more tables based on a related column like ID.
","Python, SQL, Excel, NumPy, R, Statistics",4.5,Excellent candidate. Recommended.,Hire,"Candidate Nicholas Garcia (EID0006) applied for the role of Insights Analyst with M.Sc in Data Science background. They are a Experienced. Performance in the interview was rated 4.5/5. Skills mentioned: Python, SQL, Excel, NumPy, R, Statistics. All mentioned skills supported."
TID0007,EID0007,Charles Tyler,Data Science Intern,B.Tech,5 years,2025-01-20,"Interviewer: Tell me about yourself.
Candidate: kinda Hi, I'm Charles Tyler. I studied B.Tech and did internships where I worked on real-world data projects and dashboards.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN combines rows from two or more tables based on a related column like ID.

Interviewer: How do you clean data?
Candidate: I haven’t used that in any of my projects yet.

Interviewer: What is your experience with Power BI?
Candidate: you know I’ve built interactive dashboards and used DAX to create KPIs and visualizations.

Interviewer: Why do you want this job?
Candidate: I’m passionate about data and love solving real-world problems through analysis.

Interviewer: Describe a difficult situation you handled.
Candidate: you know I had to resolve a conflict in the team by mediating and redistributing responsibilities.
","Excel, SQL, NumPy, R, Statistics, Pandas, Power BI, Tableau",4.33,Excellent candidate. Recommended.,Hire,"Candidate Charles Tyler (EID0007) applied for the role of Data Science Intern with B.Tech background. They are a Experienced. Performance in the interview was rated 4.33/5. Skills mentioned: Excel, SQL, NumPy, R, Statistics, Pandas, Power BI, Tableau. All mentioned skills supported."
TID0008,EID0008,Jeffrey Woods,Business Analyst,M.Sc in Data Science,5 years,2025-04-17,"Interviewer: Tell me about yourself.
Candidate: My name is Jeffrey Woods and I hold a degree in M.Sc in Data Science. I'm a recent graduate in data science with strong skills in Python and SQL.

Interviewer: Why do you want this job?
Candidate: you know This role aligns perfectly with my skill set and career goals in analytics.

Interviewer: What is your experience with Power BI?
Candidate: uhh... I use Power BI for reporting sales trends and customer analysis with slicers and filters.

Interviewer: How do you clean data?
Candidate: I use Pandas in Python to identify null values, drop irrelevant columns, and correct inconsistent entries.

Interviewer: What is a JOIN operation in SQL?
Candidate: umm... JOIN combines rows from two or more tables based on a related column like ID.

Interviewer: What is SQL?
Candidate: I don't remember exactly.
","NumPy, R, Statistics, Pandas, Power BI",4.0,Excellent candidate. Recommended.,Hire,"Candidate Jeffrey Woods (EID0008) applied for the role of Business Analyst with M.Sc in Data Science background. They are a Experienced. Performance in the interview was rated 4.0/5. Skills mentioned: NumPy, R, Statistics, Pandas, Power BI. All mentioned skills supported."
TID0009,EID0009,Patricia Cooper,Junior Data Scientist,MBA with Analytics,1 years,2025-06-20,"Interviewer: Tell me about yourself.
Candidate: I don't remember exactly.

Interviewer: What is SQL?
Candidate: I don't remember exactly.

Interviewer: How do you clean data?
Candidate: I use Pandas in Python to identify null values, drop irrelevant columns, and correct inconsistent entries.

Interviewer: Why do you want this job?
Candidate: This role aligns perfectly with my skill set and career goals in analytics.

Interviewer: What is a JOIN operation in SQL?
Candidate: It’s used to merge data — for instance, customer details with their orders.

Interviewer: Describe a difficult situation you handled.
Candidate: I don't remember exactly.
","Python, SQL, Excel, R, Power BI, Pandas, Tableau",2.83,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Patricia Cooper (EID0009) applied for the role of Junior Data Scientist with MBA with Analytics background. They are a Experienced. Performance in the interview was rated 2.83/5. Skills mentioned: Python, SQL, Excel, R, Power BI, Pandas, Tableau. SQL listed but not confidently answered; Python listed but not confidently answered"
TID0010,EID0010,Dr. Mark Cunningham,ML Associate,B.Sc in CS,4 years,2025-03-18,"Interviewer: Tell me about yourself.
Candidate: My name is Dr. Mark Cunningham and I hold a degree in B.Sc in CS. I'm a recent graduate in data science with strong skills in Python and SQL.

Interviewer: Why do you want this job?
Candidate: I’m passionate about data and love solving real-world problems through analysis.

Interviewer: What is a JOIN operation in SQL?
Candidate: uhh... JOIN helps bring together different tables so you can analyze related data easily.

Interviewer: What is your experience with Power BI?
Candidate: I use Power BI for reporting sales trends and customer analysis with slicers and filters.

Interviewer: How do you clean data?
Candidate: I use Pandas in Python to identify null values, drop irrelevant columns, and correct inconsistent entries.

Interviewer: Describe a difficult situation you handled.
Candidate: During a group project, a teammate left suddenly, and I took over their tasks to meet the deadline.
","Excel, SQL, Statistics, Power BI, Pandas, Tableau",4.17,Excellent candidate. Recommended.,Hire,"Candidate Dr. Mark Cunningham (EID0010) applied for the role of ML Associate with B.Sc in CS background. They are a Experienced. Performance in the interview was rated 4.17/5. Skills mentioned: Excel, SQL, Statistics, Power BI, Pandas, Tableau. All mentioned skills supported."
TID0011,EID0011,Steven Lucas,Reporting Analyst,B.Sc in CS,2 years,2025-04-10,"Interviewer: Tell me about yourself.
Candidate: Hi, I'm Steven Lucas. I studied B.Sc in CS and did internships where I worked on real-world data projects and dashboards.

Interviewer: What is your experience with Power BI?
Candidate: I connected Power BI to Excel and SQL databases to create dynamic reports for management.

Interviewer: How do you clean data?
Candidate: I'm not sure about that.

Interviewer: Why do you want this job?
Candidate: This role aligns perfectly with my skill set and career goals in analytics.

Interviewer: What is a JOIN operation in SQL?
Candidate: I don't remember exactly.

Interviewer: What is SQL?
Candidate: I'm not sure about that.
","Python, SQL, Excel, NumPy, R, Pandas, Power BI, Tableau",3.0,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Steven Lucas (EID0011) applied for the role of Reporting Analyst with B.Sc in CS background. They are a Experienced. Performance in the interview was rated 3.0/5. Skills mentioned: Python, SQL, Excel, NumPy, R, Pandas, Power BI, Tableau. SQL listed but not confidently answered"
TID0012,EID0012,Margaret Estrada,BI Developer,M.Sc in Data Science,0 years,2025-07-07,"Interviewer: Tell me about yourself.
Candidate: Hi, I'm Margaret Estrada. I studied M.Sc in Data Science and did internships where I worked on real-world data projects and dashboards.

Interviewer: What is SQL?
Candidate: like SQL helps you interact with databases — for example, to retrieve customer records or sales data.

Interviewer: Why do you want this job?
Candidate: I'm not sure about that.

Interviewer: Describe a difficult situation you handled.
Candidate: During a group project, a teammate left suddenly, and I took over their tasks to meet the deadline.

Interviewer: How do you clean data?
Candidate: I don't remember exactly.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN combines rows from two or more tables based on a related column like ID.
","Python, Excel, NumPy, R, Statistics, Pandas, Power BI, Tableau",3.17,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Margaret Estrada (EID0012) applied for the role of BI Developer with M.Sc in Data Science background. They are a Fresher. Performance in the interview was rated 3.17/5. Skills mentioned: Python, Excel, NumPy, R, Statistics, Pandas, Power BI, Tableau. All mentioned skills supported."
TID0013,EID0013,Kelly Barnes,Data Analyst,MBA with Analytics,5 years,2025-04-25,"Interviewer: Tell me about yourself.
Candidate: Hello, I'm Kelly Barnes, I completed my MBA with Analytics, and I love solving analytical problems through data.

Interviewer: Describe a difficult situation you handled.
Candidate: I had to resolve a conflict in the team by mediating and redistributing responsibilities.

Interviewer: What is a JOIN operation in SQL?
Candidate: I guess It’s used to merge data — for instance, customer details with their orders.

Interviewer: Why do you want this job?
Candidate: I want to grow in the data field and believe your company offers great learning opportunities.

Interviewer: How do you clean data?
Candidate: Sorry, I haven't learned that yet.

Interviewer: What is SQL?
Candidate: uhh... SQL stands for Structured Query Language and is used to manage data in relational databases.
","Python, SQL, Excel, NumPy, R, Statistics, Pandas, Tableau",3.83,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate Kelly Barnes (EID0013) applied for the role of Data Analyst with MBA with Analytics background. They are a Experienced. Performance in the interview was rated 3.83/5. Skills mentioned: Python, SQL, Excel, NumPy, R, Statistics, Pandas, Tableau. All mentioned skills supported."
TID0014,EID0014,Paul White,Business Analyst,B.Sc in CS,1 years,2025-06-24,"Interviewer: Tell me about yourself.
Candidate: Hello, I'm Paul White, I completed my B.Sc in CS, and I love solving analytical problems through data.

Interviewer: What is a JOIN operation in SQL?
Candidate: JOIN helps bring together different tables so you can analyze related data easily.

Interviewer: Describe a difficult situation you handled.
Candidate: umm... During a group project, a teammate left suddenly, and I took over their tasks to meet the deadline.

Interviewer: How do you clean data?
Candidate: I don't remember exactly.

Interviewer: What is your experience with Power BI?
Candidate: I’ve built interactive dashboards and used DAX to create KPIs and visualizations.

Interviewer: What is SQL?
Candidate: kinda It’s a language used for querying, updating, and managing data stored in databases.
","Python, SQL, NumPy, R, Statistics, Pandas, Tableau",4.0,Excellent candidate. Recommended.,Hire,"Candidate Paul White (EID0014) applied for the role of Business Analyst with B.Sc in CS background. They are a Experienced. Performance in the interview was rated 4.0/5. Skills mentioned: Python, SQL, NumPy, R, Statistics, Pandas, Tableau. All mentioned skills supported."
TID0015,EID0015,John Green,Data Engineer,MBA with Analytics,2 years,2025-03-22,"Interviewer: Tell me about yourself.
Candidate: Hello, I'm John Green, I completed my MBA with Analytics, and I love solving analytical problems through data.

Interviewer: What is SQL?
Candidate: SQL stands for Structured Query Language and is used to manage data in relational databases.

Interviewer: Describe a difficult situation you handled.
Candidate: I had to resolve a conflict in the team by mediating and redistributing responsibilities.

Interviewer: What is a JOIN operation in SQL?
Candidate: I think JOIN combines rows from two or more tables based on a related column like ID.

Interviewer: What is your experience with Power BI?
Candidate: I’ve built interactive dashboards and used DAX to create KPIs and visualizations.

Interviewer: Why do you want this job?
Candidate: I’m passionate about data and love solving real-world problems through analysis.
","Python, Excel, NumPy, R, Statistics, Power BI, Pandas",4.5,Excellent candidate. Recommended.,Hire,"Candidate John Green (EID0015) applied for the role of Data Engineer with MBA with Analytics background. They are a Experienced. Performance in the interview was rated 4.5/5. Skills mentioned: Python, Excel, NumPy, R, Statistics, Power BI, Pandas. All mentioned skills supported."
TID0016,EID0016,James Jones,BI Developer,MBA with Analytics,0 years,2025-04-14,"Interviewer: Tell me about yourself.
Candidate: Sorry, I haven't learned that yet.

Interviewer: Describe a difficult situation you handled.
Candidate: During a group project, a teammate left suddenly, and I took over their tasks to meet the deadline.

Interviewer: What is SQL?
Candidate: I'm not sure about that.

Interviewer: What is your experience with Power BI?
Candidate: I think I connected Power BI to Excel and SQL databases to create dynamic reports for management.

Interviewer: Why do you want this job?
Candidate: I haven’t used that in any of my projects yet.

Interviewer: How do you clean data?
Candidate: I use Pandas in Python to identify null values, drop irrelevant columns, and correct inconsistent entries.
","Python, SQL, Excel, NumPy, R, Statistics, Power BI, Pandas",3.0,Not suitable currently. Needs stronger support for mentioned skills.,Reject,"Candidate James Jones (EID0016) applied for the role of BI Developer with MBA with Analytics background. They are a Fresher. Performance in the interview was rated 3.0/5. Skills mentioned: Python, SQL, Excel, NumPy, R, Statistics, Power BI, Pandas. SQL listed but not confidently answered; Python listed but not confidently answered"
